pid,name,normalized_burst_time,arrival_time,waiting_time,turnaround_time
1, (systemd),86,49726,0,86
2, (kthreadd),86,49726,86,172
3, (pool_workqueue_release),86,49726,172,258
4, (kworker/R-rcu_g),71,49726,258,329
5, (kworker/R-rcu_p),71,49726,329,400
6, (kworker/R-slub_),71,49726,400,471
7, (kworker/R-netns),71,49726,471,542
10, (kworker/0:1-events),86,49726,542,628
12, (kworker/R-mm_pe),71,49726,628,699
14, (rcu_tasks_kthread),86,49726,699,785
15, (rcu_tasks_rude_kthread),86,49726,785,871
16, (rcu_tasks_trace_kthread),86,49726,871,957
17, (ksoftirqd/0),86,49726,957,1043
18, (rcu_preempt),70,49726,1043,1113
19, (rcub/0),70,49726,1113,1183
20, (migration/0),0,49726,1183,1183
21, (idle_inject/0),35,49726,1183,1218
22, (cpuhp/0),86,49726,1218,1304
23, (cpuhp/2),86,49726,1304,1390
24, (idle_inject/2),35,49726,1390,1425
25, (migration/2),0,49726,1425,1425
26, (ksoftirqd/2),86,49726,1425,1511
28, (kworker/2:0H-events_highpri),71,49726,1511,1582
29, (cpuhp/4),86,49726,1582,1668
30, (idle_inject/4),35,49726,1668,1703
31, (migration/4),0,49726,1703,1703
32, (ksoftirqd/4),86,49726,1703,1789
34, (kworker/4:0H-events_highpri),71,49726,1789,1860
35, (cpuhp/5),86,49726,1860,1946
36, (idle_inject/5),35,49726,1946,1981
37, (migration/5),0,49726,1981,1981
38, (ksoftirqd/5),86,49726,1981,2067
40, (kworker/5:0H-events_highpri),71,49726,2067,2138
41, (cpuhp/6),86,49726,2138,2224
42, (idle_inject/6),35,49726,2224,2259
43, (migration/6),0,49726,2259,2259
44, (ksoftirqd/6),86,49726,2259,2345
46, (kworker/6:0H-events_highpri),71,49726,2345,2416
47, (cpuhp/7),86,49726,2416,2502
48, (idle_inject/7),35,49726,2502,2537
49, (migration/7),0,49726,2537,2537
50, (ksoftirqd/7),86,49726,2537,2623
52, (kworker/7:0H-events_highpri),71,49726,2623,2694
53, (cpuhp/8),86,49726,2694,2780
54, (idle_inject/8),35,49726,2780,2815
55, (migration/8),0,49726,2815,2815
56, (ksoftirqd/8),86,49726,2815,2901
58, (kworker/8:0H-events_highpri),71,49726,2901,2972
59, (cpuhp/9),86,49726,2972,3058
60, (idle_inject/9),35,49726,3058,3093
61, (migration/9),0,49726,3093,3093
62, (ksoftirqd/9),86,49726,3093,3179
64, (kworker/9:0H-events_highpri),71,49726,3179,3250
65, (cpuhp/10),86,49726,3250,3336
66, (idle_inject/10),35,49726,3336,3371
67, (migration/10),0,49726,3371,3371
68, (ksoftirqd/10),86,49726,3371,3457
70, (kworker/10:0H-events_highpri),71,49726,3457,3528
71, (cpuhp/11),86,49726,3528,3614
72, (idle_inject/11),35,49726,3614,3649
73, (migration/11),0,49726,3649,3649
74, (ksoftirqd/11),86,49726,3649,3735
76, (kworker/11:0H-events_highpri),71,49726,3735,3806
77, (cpuhp/1),86,49726,3806,3892
78, (idle_inject/1),35,49726,3892,3927
79, (migration/1),0,49726,3927,3927
80, (ksoftirqd/1),86,49726,3927,4013
82, (kworker/1:0H-events_highpri),71,49726,4013,4084
83, (cpuhp/3),86,49726,4084,4170
84, (idle_inject/3),35,49726,4170,4205
85, (migration/3),0,49726,4205,4205
86, (ksoftirqd/3),86,49726,4205,4291
88, (kworker/3:0H-events_highpri),71,49726,4291,4362
89, (kdevtmpfs),86,49726,4362,4448
90, (kworker/R-inet_),71,49726,4448,4519
91, (kauditd),86,49726,4519,4605
92, (khungtaskd),86,49726,4605,4691
93, (oom_reaper),86,49726,4691,4777
95, (kworker/R-write),71,49726,4777,4848
96, (kcompactd0),86,49726,4848,4934
97, (ksmd),89,49726,4934,5023
99, (khugepaged),100,49726,5023,5123
100, (kworker/R-kinte),71,49726,5123,5194
101, (kworker/R-kbloc),71,49726,5194,5265
102, (kworker/R-blkcg),71,49726,5265,5336
104, (kworker/R-tpm_d),71,49726,5336,5407
105, (kworker/R-ata_s),71,49726,5407,5478
106, (kworker/R-edac-),71,49726,5478,5549
107, (kworker/R-devfr),71,49726,5549,5620
108, (watchdogd),35,49726,5620,5655
109, (kworker/4:1H-events_highpri),71,49726,5655,5726
110, (kswapd0),86,49726,5726,5812
112, (kworker/R-kthro),71,49726,5812,5883
113, (irq/122-aerdrv),35,49726,5883,5918
114, (irq/123-aerdrv),35,49726,5918,5953
116, (kworker/R-acpi_),71,49726,5953,6024
119, (hwrng),86,49726,6024,6110
120, (kworker/R-hfi-u),71,49726,6110,6181
121, (kworker/R-mld),71,49726,6181,6252
