pid,name,normalized_burst_time,arrival_time,waiting_time,turnaround_time
21,(idle_inject/0),35,35443,45,11630
24,(idle_inject/2),35,35443,54,11638
30,(idle_inject/4),35,35443,66,11649
36,(idle_inject/5),35,35443,78,11660
42,(idle_inject/6),35,35443,90,11671
48,(idle_inject/7),35,35443,102,11682
54,(idle_inject/8),35,35443,114,11693
60,(idle_inject/9),35,35443,129,11707
66,(idle_inject/10),35,35443,141,11718
72,(idle_inject/11),35,35443,153,11729
78,(idle_inject/1),35,35443,165,11740
84,(idle_inject/3),35,35443,177,11751
108,(watchdogd),35,35443,234,11807
113,(irq/122-aerdrv),35,35443,246,11818
114,(irq/123-aerdrv),35,35443,249,11820
567,(irq/138-SYNA32DC:00),35,35443,387,11957
633,(card1-crtc0),35,35443,399,11968
634,(card1-crtc1),35,35443,402,11970
635,(card1-crtc2),35,35443,405,11972
636,(card1-crtc3),35,35443,408,11974
766,(irq/141-rtw89_pci),35,35443,444,12009
861,(irq/142-AudioDSP),35,35443,453,12017
4,(kworker/R-rcu_g),71,35443,9,23482
5,(kworker/R-rcu_p),71,35443,12,23484
6,(kworker/R-slub_),71,35443,15,23486
7,(kworker/R-netns),71,35443,18,23488
12,(kworker/R-mm_pe),71,35443,24,23493
18,(rcu_preempt),70,35443,39,23506
19,(rcub/0),70,35443,42,23507
28,(kworker/2:0H-events_highpri),71,35443,60,23518
34,(kworker/4:0H-events_highpri),71,35443,72,23526
40,(kworker/5:0H-events_highpri),71,35443,84,23534
46,(kworker/6:0H-events_highpri),71,35443,96,23542
52,(kworker/7:0H-events_highpri),71,35443,108,23550
58,(kworker/8:0H-events_highpri),71,35443,123,23561
64,(kworker/9:0H-events_highpri),71,35443,135,23569
70,(kworker/10:0H-events_highpri),71,35443,147,23577
76,(kworker/11:0H-events_highpri),71,35443,159,23585
82,(kworker/1:0H-events_highpri),71,35443,171,23593
88,(kworker/3:0H-events_highpri),71,35443,183,23601
90,(kworker/R-inet_),71,35443,189,23606
95,(kworker/R-write),71,35443,201,23617
100,(kworker/R-kinte),71,35443,213,23628
101,(kworker/R-kbloc),71,35443,216,23630
102,(kworker/R-blkcg),71,35443,219,23632
104,(kworker/R-tpm_d),71,35443,222,23634
105,(kworker/R-ata_s),71,35443,225,23636
106,(kworker/R-edac-),71,35443,228,23638
107,(kworker/R-devfr),71,35443,231,23640
109,(kworker/4:1H-events_highpri),71,35443,237,23642
112,(kworker/R-kthro),71,35443,243,23647
116,(kworker/R-acpi_),71,35443,252,23649
120,(kworker/R-hfi-u),71,35443,258,23654
121,(kworker/R-mld),71,35443,261,23656
122,(kworker/9:1H-events_highpri),71,35443,264,23658
123,(kworker/R-ipv6_),71,35443,267,23660
130,(kworker/R-kstrp),71,35443,270,23662
138,(kworker/R-zswap),71,35443,276,23667
140,(kworker/R-charg),71,35443,279,23669
151,(kworker/7:1H-kblockd),71,35443,282,23671
179,(kworker/8:1H-events_highpri),71,35443,285,23673
186,(kworker/5:1H-events_highpri),71,35443,288,23675
188,(kworker/2:1H-events_highpri),71,35443,291,23677
189,(kworker/10:1H-events_highpri),71,35443,294,23679
190,(kworker/0:1H-acpi_thermal_pm),71,35443,297,23681
191,(kworker/11:1H-events_highpri),71,35443,300,23683
199,(kworker/6:1H-events_highpri),71,35443,303,23685
314,(kworker/1:1H-kblockd),71,35443,306,23687
315,(kworker/3:1H-events_highpri),71,35443,309,23689
333,(kworker/R-nvme-),71,35443,312,23691
334,(kworker/R-nvme-),71,35443,315,23693
335,(kworker/R-nvme-),71,35443,318,23695
336,(kworker/R-nvme-),71,35443,321,23697
337,(kworker/R-crypt),71,35443,324,23699
356,(kworker/R-btrfs),71,35443,327,23701
357,(kworker/R-btrfs),71,35443,330,23703
358,(kworker/R-btrfs),71,35443,333,23705
359,(kworker/R-btrfs),71,35443,336,23707
360,(kworker/R-btrfs),71,35443,339,23709
361,(kworker/R-btrfs),71,35443,342,23711
362,(kworker/R-btrfs),71,35443,345,23713
363,(kworker/R-btrfs),71,35443,348,23715
364,(kworker/R-btrfs),71,35443,351,23717
365,(kworker/R-btrfs),71,35443,354,23719
366,(kworker/R-btrfs),71,35443,357,23721
367,(kworker/R-btrfs),71,35443,360,23723
368,(kworker/R-btrfs),71,35443,363,23725
479,(psimon),70,35443,378,23738
566,(kworker/R-cfg80),71,35443,384,23743
629,(kworker/R-ttm),71,35443,396,23751
886,(psimon),70,35443,459,23794
30290,(kworker/0:2H-events_highpri),71,35443,876,24210
57633,(kworker/u25:0-rtw89_tx_wq),71,35443,981,24314
60937,(kworker/u25:2-i915_flip),71,35443,1011,24343
63632,(kworker/u25:1-i915_flip),71,35443,1038,24369
63727,(kworker/u25:3),71,35443,1044,24374
2799,(pipewire),78,35443,648,25523
2801,(wireplumber),78,35443,651,25526
2802,(pipewire-pulse),78,35443,654,25529
1841,(krfcommd),79,35443,471,26109
1,(systemd),86,35443,0,27419
2,(kthreadd),86,35443,3,27421
3,(pool_workqueue_release),86,35443,6,27423
10,(kworker/0:1-events),86,35443,21,27425
14,(rcu_tasks_kthread),86,35443,27,27427
15,(rcu_tasks_rude_kthread),86,35443,30,27429
16,(rcu_tasks_trace_kthread),86,35443,33,27431
17,(ksoftirqd/0),86,35443,36,27433
22,(cpuhp/0),86,35443,48,27435
23,(cpuhp/2),86,35443,51,27437
26,(ksoftirqd/2),86,35443,57,27439
29,(cpuhp/4),86,35443,63,27441
32,(ksoftirqd/4),86,35443,69,27443
35,(cpuhp/5),86,35443,75,27445
38,(ksoftirqd/5),86,35443,81,27447
41,(cpuhp/6),86,35443,87,27449
44,(ksoftirqd/6),86,35443,93,27451
47,(cpuhp/7),86,35443,99,27453
50,(ksoftirqd/7),86,35443,105,27455
