pid,name,normalized_burst_time,arrival_time,waiting_time,turnaround_time
20,(migration/0),0,35443,0,0
25,(migration/2),0,35443,0,0
31,(migration/4),0,35443,0,0
37,(migration/5),0,35443,0,0
43,(migration/6),0,35443,0,0
49,(migration/7),0,35443,0,0
55,(migration/8),0,35443,0,0
61,(migration/9),0,35443,0,0
67,(migration/10),0,35443,0,0
73,(migration/11),0,35443,0,0
79,(migration/1),0,35443,0,0
85,(migration/3),0,35443,0,0
21,(idle_inject/0),35,35443,0,35
24,(idle_inject/2),35,35443,35,70
30,(idle_inject/4),35,35443,70,105
36,(idle_inject/5),35,35443,105,140
42,(idle_inject/6),35,35443,140,175
48,(idle_inject/7),35,35443,175,210
54,(idle_inject/8),35,35443,210,245
60,(idle_inject/9),35,35443,245,280
66,(idle_inject/10),35,35443,280,315
72,(idle_inject/11),35,35443,315,350
78,(idle_inject/1),35,35443,350,385
84,(idle_inject/3),35,35443,385,420
108,(watchdogd),35,35443,420,455
113,(irq/122-aerdrv),35,35443,455,490
114,(irq/123-aerdrv),35,35443,490,525
567,(irq/138-SYNA32DC:00),35,35443,525,560
633,(card1-crtc0),35,35443,560,595
634,(card1-crtc1),35,35443,595,630
635,(card1-crtc2),35,35443,630,665
636,(card1-crtc3),35,35443,665,700
766,(irq/141-rtw89_pci),35,35443,700,735
861,(irq/142-AudioDSP),35,35443,735,770
18,(rcu_preempt),70,35443,770,840
19,(rcub/0),70,35443,840,910
479,(psimon),70,35443,910,980
886,(psimon),70,35443,980,1050
4,(kworker/R-rcu_g),71,35443,1050,1121
5,(kworker/R-rcu_p),71,35443,1121,1192
6,(kworker/R-slub_),71,35443,1192,1263
7,(kworker/R-netns),71,35443,1263,1334
12,(kworker/R-mm_pe),71,35443,1334,1405
28,(kworker/2:0H-events_highpri),71,35443,1405,1476
34,(kworker/4:0H-events_highpri),71,35443,1476,1547
40,(kworker/5:0H-events_highpri),71,35443,1547,1618
46,(kworker/6:0H-events_highpri),71,35443,1618,1689
52,(kworker/7:0H-events_highpri),71,35443,1689,1760
58,(kworker/8:0H-events_highpri),71,35443,1760,1831
64,(kworker/9:0H-events_highpri),71,35443,1831,1902
70,(kworker/10:0H-events_highpri),71,35443,1902,1973
76,(kworker/11:0H-events_highpri),71,35443,1973,2044
82,(kworker/1:0H-events_highpri),71,35443,2044,2115
88,(kworker/3:0H-events_highpri),71,35443,2115,2186
90,(kworker/R-inet_),71,35443,2186,2257
95,(kworker/R-write),71,35443,2257,2328
100,(kworker/R-kinte),71,35443,2328,2399
101,(kworker/R-kbloc),71,35443,2399,2470
102,(kworker/R-blkcg),71,35443,2470,2541
104,(kworker/R-tpm_d),71,35443,2541,2612
105,(kworker/R-ata_s),71,35443,2612,2683
106,(kworker/R-edac-),71,35443,2683,2754
107,(kworker/R-devfr),71,35443,2754,2825
109,(kworker/4:1H-events_highpri),71,35443,2825,2896
112,(kworker/R-kthro),71,35443,2896,2967
116,(kworker/R-acpi_),71,35443,2967,3038
120,(kworker/R-hfi-u),71,35443,3038,3109
121,(kworker/R-mld),71,35443,3109,3180
122,(kworker/9:1H-events_highpri),71,35443,3180,3251
123,(kworker/R-ipv6_),71,35443,3251,3322
130,(kworker/R-kstrp),71,35443,3322,3393
138,(kworker/R-zswap),71,35443,3393,3464
140,(kworker/R-charg),71,35443,3464,3535
151,(kworker/7:1H-kblockd),71,35443,3535,3606
179,(kworker/8:1H-events_highpri),71,35443,3606,3677
186,(kworker/5:1H-events_highpri),71,35443,3677,3748
188,(kworker/2:1H-events_highpri),71,35443,3748,3819
189,(kworker/10:1H-events_highpri),71,35443,3819,3890
190,(kworker/0:1H-acpi_thermal_pm),71,35443,3890,3961
191,(kworker/11:1H-events_highpri),71,35443,3961,4032
199,(kworker/6:1H-events_highpri),71,35443,4032,4103
314,(kworker/1:1H-kblockd),71,35443,4103,4174
315,(kworker/3:1H-events_highpri),71,35443,4174,4245
333,(kworker/R-nvme-),71,35443,4245,4316
334,(kworker/R-nvme-),71,35443,4316,4387
335,(kworker/R-nvme-),71,35443,4387,4458
336,(kworker/R-nvme-),71,35443,4458,4529
337,(kworker/R-crypt),71,35443,4529,4600
356,(kworker/R-btrfs),71,35443,4600,4671
357,(kworker/R-btrfs),71,35443,4671,4742
358,(kworker/R-btrfs),71,35443,4742,4813
359,(kworker/R-btrfs),71,35443,4813,4884
360,(kworker/R-btrfs),71,35443,4884,4955
361,(kworker/R-btrfs),71,35443,4955,5026
362,(kworker/R-btrfs),71,35443,5026,5097
363,(kworker/R-btrfs),71,35443,5097,5168
364,(kworker/R-btrfs),71,35443,5168,5239
365,(kworker/R-btrfs),71,35443,5239,5310
366,(kworker/R-btrfs),71,35443,5310,5381
367,(kworker/R-btrfs),71,35443,5381,5452
368,(kworker/R-btrfs),71,35443,5452,5523
566,(kworker/R-cfg80),71,35443,5523,5594
629,(kworker/R-ttm),71,35443,5594,5665
30290,(kworker/0:2H-events_highpri),71,35443,5665,5736
57633,(kworker/u25:0-rtw89_tx_wq),71,35443,5736,5807
60937,(kworker/u25:2-i915_flip),71,35443,5807,5878
63632,(kworker/u25:1-i915_flip),71,35443,5878,5949
63727,(kworker/u25:3),71,35443,5949,6020
2799,(pipewire),78,35443,6020,6098
2801,(wireplumber),78,35443,6098,6176
2802,(pipewire-pulse),78,35443,6176,6254
1841,(krfcommd),79,35443,6254,6333
3722,(opera),85,35443,6333,6418
3761,(opera),85,35443,6418,6503
3845,(opera),85,35443,6503,6588
3966,(opera),85,35443,6588,6673
4008,(opera),85,35443,6673,6758
4041,(opera),85,35443,6758,6843
4057,(opera),85,35443,6843,6928
4066,(opera),85,35443,6928,7013
4078,(opera),85,35443,7013,7098
60938,(opera),85,35443,7098,7183
1,(systemd),86,35443,7183,7269
2,(kthreadd),86,35443,7269,7355
3,(pool_workqueue_release),86,35443,7355,7441
10,(kworker/0:1-events),86,35443,7441,7527
14,(rcu_tasks_kthread),86,35443,7527,7613
15,(rcu_tasks_rude_kthread),86,35443,7613,7699
16,(rcu_tasks_trace_kthread),86,35443,7699,7785
17,(ksoftirqd/0),86,35443,7785,7871
22,(cpuhp/0),86,35443,7871,7957
23,(cpuhp/2),86,35443,7957,8043
26,(ksoftirqd/2),86,35443,8043,8129
29,(cpuhp/4),86,35443,8129,8215
32,(ksoftirqd/4),86,35443,8215,8301
35,(cpuhp/5),86,35443,8301,8387
38,(ksoftirqd/5),86,35443,8387,8473
41,(cpuhp/6),86,35443,8473,8559
44,(ksoftirqd/6),86,35443,8559,8645
47,(cpuhp/7),86,35443,8645,8731
50,(ksoftirqd/7),86,35443,8731,8817
53,(cpuhp/8),86,35443,8817,8903
56,(ksoftirqd/8),86,35443,8903,8989
57,(kworker/8:0-events),86,35443,8989,9075
59,(cpuhp/9),86,35443,9075,9161
62,(ksoftirqd/9),86,35443,9161,9247
65,(cpuhp/10),86,35443,9247,9333
68,(ksoftirqd/10),86,35443,9333,9419
71,(cpuhp/11),86,35443,9419,9505
74,(ksoftirqd/11),86,35443,9505,9591
77,(cpuhp/1),86,35443,9591,9677
80,(ksoftirqd/1),86,35443,9677,9763
83,(cpuhp/3),86,35443,9763,9849
86,(ksoftirqd/3),86,35443,9849,9935
89,(kdevtmpfs),86,35443,9935,10021
91,(kauditd),86,35443,10021,10107
92,(khungtaskd),86,35443,10107,10193
93,(oom_reaper),86,35443,10193,10279
96,(kcompactd0),86,35443,10279,10365
110,(kswapd0),86,35443,10365,10451
119,(hwrng),86,35443,10451,10537
134,(kworker/6:1-events),86,35443,10537,10623
369,(btrfs-cleaner),86,35443,10623,10709
370,(btrfs-transaction),86,35443,10709,10795
439,(systemd-journal),86,35443,10795,10881
477,(systemd-udevd),86,35443,10881,10967
543,(mount.ntfs),86,35443,10967,11053
622,(systemd-oomd),86,35443,11053,11139
627,(systemd-timesyn),86,35443,11139,11225
661,(avahi-daemon),86,35443,11225,11311
666,(bluetoothd),86,35443,11311,11397
667,(dbus-daemon),86,35443,11397,11483
674,(polkitd),86,35443,11483,11569
675,(power-profiles-),86,35443,11569,11655
678,(systemd-logind),86,35443,11655,11741
694,(NetworkManager),86,35443,11741,11827
696,(input-remapper-),86,35443,11827,11913
700,(avahi-daemon),86,35443,11913,11999
742,(ModemManager),86,35443,11999,12085
761,(gdm),86,35443,12085,12171
791,(input-remapper-),86,35443,12171,12257
833,(wpa_supplicant),86,35443,12257,12343
865,(accounts-daemon),86,35443,12343,12429
1531,(colord),86,35443,12429,12515
1560,(upowerd),86,35443,12515,12601
1886,(gdm-session-wor),86,35443,12601,12687
1899,(systemd),86,35443,12687,12773
1903,((sd-pam)),86,35443,12773,12859
1916,(gnome-keyring-d),86,35443,12859,12945
1933,(dbus-daemon),86,35443,12945,13031
2099,(gdm-wayland-ses),86,35443,13031,13117
2109,(gnome-session-b),86,35443,13117,13203
2184,(gnome-session-c),86,35443,13203,13289
2200,(gnome-session-b),86,35443,13289,13375
2270,(gnome-shell),86,35443,13375,13461
2280,(gvfsd),86,35443,13461,13547
2287,(gvfsd-fuse),86,35443,13547,13633
2377,(at-spi-bus-laun),86,35443,13633,13719
2384,(dbus-daemon),86,35443,13719,13805
2387,(at-spi2-registr),86,35443,13805,13891
2405,(xdg-permission-),86,35443,13891,13977
2408,(gnome-shell-cal),86,35443,13977,14063
2419,(evolution-sourc),86,35443,14063,14149
2430,(gjs),86,35443,14149,14235
2447,(gsd-a11y-settin),86,35443,14235,14321
2448,(gsd-color),86,35443,14321,14407
2451,(gsd-datetime),86,35443,14407,14493
2453,(gsd-housekeepin),86,35443,14493,14579
2456,(gsd-keyboard),86,35443,14579,14665
2458,(gsd-media-keys),86,35443,14665,14751
2464,(gsd-power),86,35443,14751,14837
2470,(gsd-print-notif),86,35443,14837,14923
2474,(gsd-rfkill),86,35443,14923,15009
2478,(gsd-screensaver),86,35443,15009,15095
2479,(gsd-sharing),86,35443,15095,15181
2482,(gsd-smartcard),86,35443,15181,15267
2483,(gsd-sound),86,35443,15267,15353
2487,(gsd-usb-protect),86,35443,15353,15439
2500,(gsd-wacom),86,35443,15439,15525
2542,(gsd-printer),86,35443,15525,15611
2553,(gjs),86,35443,15611,15697
2569,(garuda-system-m),86,35443,15697,15783
2576,(ulauncher),86,35443,15783,15869
2592,(gsd-disk-utilit),86,35443,15869,15955
2607,(evolution-alarm),86,35443,15955,16041
2612,(electron),86,35443,16041,16127
2620,(udisksd),86,35443,16127,16213
2637,(goa-daemon),86,35443,16213,16299
2641,(gvfs-udisks2-vo),86,35443,16299,16385
2650,(evolution-calen),86,35443,16385,16471
2670,(goa-identity-se),86,35443,16471,16557
2677,(xdg-desktop-por),86,35443,16557,16643
2688,(xdg-document-po),86,35443,16643,16729
2694,(fusermount3),86,35443,16729,16815
2700,(gvfs-mtp-volume),86,35443,16815,16901
2706,(gvfs-gphoto2-vo),86,35443,16901,16987
2721,(evolution-addre),86,35443,16987,17073
2727,(gvfs-goa-volume),86,35443,17073,17159
2735,(gvfs-afc-volume),86,35443,17159,17245
2750,(electron),86,35443,17245,17331
2753,(electron),86,35443,17331,17417
2760,(Xwayland),86,35443,17417,17503
2774,(electron),86,35443,17503,17589
2925,(com.docker.back),86,35443,17589,17675
2929,(python3),86,35443,17675,17761
2930,(xdg-desktop-por),86,35443,17761,17847
2971,(com.docker.buil),86,35443,17847,17933
2980,(com.docker.dev-),86,35443,17933,18019
