pid,tiempo_ráfaga
1,4204211
2,4204211
3,4204211
4,4204011
5,4204011
6,4204011
7,4204011
9,4204011
12,4204011
14,4204211
15,4204211
16,4204211
17,4204211
18,4203991
19,4203991
20,4203011
21,4203501
22,4204211
23,4204211
24,4203501
25,4203011
26,4204211
28,4204011
29,4204211
30,4203501
31,4203011
32,4204211
34,4204011
35,4204211
36,4203501
37,4203011
38,4204211
40,4204011
41,4204211
42,4203501
43,4203011
44,4204211
46,4204011
47,4204211
48,4203501
49,4203011
50,4204211
51,4204211
52,4204011
53,4204211
54,4203501
55,4203011
56,4204211
58,4204011
59,4204211
60,4203501
61,4203011
62,4204211
64,4204011
65,4204211
66,4203501
67,4203011
68,4204211
70,4204011
71,4204211
72,4203501
73,4203011
74,4204211
76,4204011
77,4204211
78,4203501
79,4203011
80,4204211
82,4204011
83,4204211
84,4203501
85,4203011
86,4204211
87,4204211
88,4204011
89,4204211
90,4204011
91,4204211
92,4204211
93,4204211
95,4204011
96,4204211
97,4204261
99,4204401
100,4204011
101,4204011
102,4204011
104,4204011
105,4204011
106,4204011
107,4204011
108,4203501
110,4204011
111,4204211
113,4204011
114,4203501
115,4203501
116,4204011
119,4204211
120,4204011
121,4204011
122,4204011
131,4204011
137,4204011
139,4204011
141,4204011
151,4204011
187,4204011
188,4204011
189,4204011
190,4204011
192,4204011
202,4204011
311,4204011
312,4204011
333,4204011
338,4204011
339,4204011
340,4204011
341,4204011
356,4204011
357,4204011
358,4204011
359,4204011
360,4204011
361,4204011
362,4204011
363,4204011
364,4204011
365,4204011
366,4204011
367,4204011
368,4204011
369,4204211
370,4204211
440,4204211
462,4204211
478,4204211
479,4203991
539,4204211
562,4204011
577,4203501
593,4204011
610,4203501
611,4203501
612,4203501
613,4203501
634,4204211
635,4204211
656,4203501
663,4204211
664,4204211
665,4204211
670,4204211
671,4204211
673,4204211
690,4204211
700,4204211
705,4204211
730,4204211
746,4204211
755,4204211
759,4204211
782,4203501
786,4204211
1237,4204211
1466,4204211
1673,4204221
1756,4204111
1850,4204211
1865,4204211
1868,4204211
1880,4204211
1898,4204211
2055,4204211
2063,4204211
2118,4204211
2147,4204211
2215,4204211
2225,4204211
2232,4204211
2317,4204211
2324,4204211
2327,4204211
2347,4204211
2350,4204211
2361,4204211
2370,4204211
2386,4204211
2387,4204211
2390,4204211
2391,4204211
2392,4204211
2396,4204211
2400,4204211
2403,4204211
2408,4204211
2410,4204211
2411,4204211
2414,4204211
2417,4204211
2422,4204211
2424,4204211
2428,4204211
2430,4204211
2450,4204211
2479,4204211
2484,4204211
2514,4204211
2528,4204211
2533,4204211
2569,4204211
2578,4204211
2583,4204211
2601,4204211
2602,4204211
2613,4204211
2616,4204211
2646,4204211
2648,4204211
2651,4204211
2658,4204211
2663,4204211
2668,4204211
2675,4204211
2689,4204211
2715,4204211
2745,4204101
2748,4204101
2749,4204101
2856,4204211
2860,4204211
2861,4204211
2912,4204211
2915,4204211
2916,4204211
2954,4204211
3009,4204211
3055,4204211
3056,4204211
3090,4204211
3094,4204211
3148,4204211
3173,4204211
3175,4204211
3186,4204211
3193,4204211
3195,4204211
3198,4204211
4522,4204211
4559,4204201
4562,4204211
4567,4204211
4568,4204211
4570,4204211
4596,4204201
4597,4204211
4609,4204211
4661,4204211
4678,4204261
4697,4204261
4700,4204261
4725,4204261
4765,4204211
4783,4204211
4790,4204211
4806,4204201
4816,4204211
4833,4204201
4839,4204201
5056,4204211
5370,4204211
5442,4204261
5467,4204261
5483,4204261
5745,4204211
5748,4204211
5749,4204211
5751,4204211
5766,4204211
5782,4204211
5787,4204211
5801,4204211
5856,4204211
5867,4204211
5868,4204211
5892,4204211
5920,4204211
6016,4204211
6162,4204211
6398,4204201
6603,4204211
7388,4204261
8496,4204211
10984,4204261
11284,4204211
11304,4204261
11392,4204211
11525,4204211
13349,4204211
13673,4204011
18383,4204211
18845,4204261
19128,4204261
20410,4204211
22981,4204211
29237,4204211
30346,4204211
32143,4204211
38059,4203991
38227,4204211
43279,4204211
43283,4204011
43284,4204011
43288,4204211
43289,4204211
43290,4204211
43291,4204211
43292,4204211
43293,4204211
43294,4204211
43295,4204211
43296,4204211
43297,4204211
43298,4204211
43299,4204211
43300,4204211
43301,4204211
47276,4204211
55968,4204261
56441,4204211
56443,4204211
58125,4204211
58495,4204211
58673,4204211
59533,4204211
66301,4204211
66539,4204211
66547,4204211
68402,4204211
68414,4204211
68426,4204211
68606,4204011
68632,4204211
68686,4204211
68694,4204211
68699,4204211
68709,4204211
68734,4204211
68770,4204211
68771,4204211
68786,4204211
68818,4204211
68886,4204211
69933,4204211
69977,4204211
70192,4204211
70306,4204011
70625,4204211
70833,4204211
70834,4204211
70913,4204211
70967,4204011
71155,4204211
71459,4204211
71757,4204211
71937,4204211
72447,4204211
72805,4204211
73294,4204261
73314,4204211
73322,4204261
73333,4204261
73472,4204211
73473,4204211
73557,4204261
73849,4204211
73880,4204011
73884,4204211
73957,4204261
74124,4204201
74134,4204211
74171,4204211
74172,4204211
74173,4204211
74198,4204211
74201,4204211
74205,4204211
